Country Region,EC financing,Title,Action location,Organisation,Total cost in Euro,Contract Nr,Theme,DAC code,Duration,Organisation nationality,Amount in Euro
Germany,"
						
						    58 %
					",Indipendent Professional Media - The Road to Europe,"Albania, Tirana",DEUTSCHE WELLE,"
						      172,114
					",212146,Media and free flow of information,15153,18 months,Albania,"
						       99,826
					"
Germany,"
						
						    75 %
					",Initiative 2015 - Armutsbekämpfung braucht Beteiligung,"Germany, Poland, Estelí (Nicaragua)",STADT BIELEFELD,"
						      621,000
					",202016,Promotion of development awareness,99820,24 months,All Countries,"
						      465,000
					"
Germany,"
						
						    75 %
					",Integrated Community Based Arsenic Mitigation Project,"The  project will be implemented in Bangladesh in following 19 Districts: Barisal, Faridpur, Gopalgonj, Madaripur, Khulna, Bagerhat, Satkhira, Chuadanga, Meherpur, Jessore, Pabna, Chapai Nawabganj, Bogra, Comilla, Noakhali, Lakshmipur, Chandpur, Narayanganj and Munshiganj.",KATHOLISCHE ZENTRALSTELLE FUERENTWICKLUNGSHILFE E.V.,"
						      887,934
					",208396,Basic drinking water supply and basic sanitation,14030,36 months,Bangladesh,"
						      665,950
					"
Germany,"
						
						    84 %
					","Integrated Community Based Rural Development Project in Xay and Namor Districts, Oudomxay Province, Phase II","Namor and Xay Districts, Oudomxay Province, Lao PDR.",DEUTSCHE WELTHUNGERHILFE EV,"
						      511,600
					",211620,Food aid/Food security programmes,52010,30 months,Laos,"
						      430,000
					"
Germany,"
						
						    87 %
					",Integrated Food Security Response Initiative (IFSRI),"Liliongwe, Dowa and Ntchisi Districts, Malawi",CARE DEUTSCHLAND-LUXEMBURG EV,"
						     1,150,000
					",214274,Food aid/Food security programmes,52010,22 months,Malawi,"
						     1,000,000
					"
Germany,"
						
						    57 %
					","LOT 1: EU Study Centre in India
Creation of Study Centre for European Business Studies in India ","India, Mumbai ",FACHHOCHSCHULE REUTLINGEN,"
						      482,690
					",215015,Higher education,11420,24 months,India,"
						      274,811
					"
Germany,"
						
						   100 %
					",Legal Education System Reform,Kosovo,DEUTSCHE STIFTUNG FUR INTERNATIONALE RECHTLICHE ZUSAMMENARBEIT IRZ-STIFTUNG,"
						     3,600,000
					",215030,Legal and judicial development,15130,33 months,Kosovo (under UNSCR 1244/99),"
						     3,600,000
					"
Germany,"
						
						    75 %
					",Lifestyle and MDGs,"Czech Republic, Germany, Poland and Portugal",FORUM FUR INTERNATIONALE ENTWICKLUNG UND PLANUNG FINEP EV,"
						      564,000
					",201801,Promotion of development awareness,99820,36 months,EU Europe ,"
						      423,000
					"
Germany,"
						
						    75 %
					",Mejoramiento de la competitividad de las cadenas de valor para el desarrollo economico inclusivo en el departamento de El Paraíso ,Los municipios de Danlí y El Paraíso en la zona Oriental de Honduras,SWISSCONTACT GERMANY GGMBH,"
						      359,950
					",223985,Agricultural development,31120,36 months,Honduras,"
						      269,963
					"
Germany,"
						
						    75 %
					",Mulheres do Campo: Contribuindo e Disseminando Conhecimentos Agroecológicos para o Desenvolvimento Sustentável com Segurança Alimentar no Norte do Brasil.,Estados: Acre; Amapá; Amazonas; Pará; Rondônia e Roraima,DIAKONISCHES WERK DER EVANGELISCHEN KIRCHE IN DEUTSCHLAND EV,"
						      860,500
					",224138,Food crop production,31161,36 months,Brazil,"
						      645,375
					"
Germany,"
						
						    75 %
					","Partnership for Democratic Local Governance in
Southeast-Asia (Cambodia, Indonesia, Philippines, Thailand, Vietnam)","Cambodia, Indonesia, Philippines, Thailand, Vietnam",KONRAD-ADENAUER-STIFTUNG EV,"
						     1,842,970
					",201064,Democratic participation and civil society,15150,30 months,South East Asia Region,"
						     1,382,228
					"
Germany,"
						
						    75 %
					",Perspectives for Muhamasheen Children and Youth in Sana'a,Sana'a Yemen,CARE DEUTSCHLAND-LUXEMBURG EV,"
						      666,000
					",212344,Democratic participation and civil society,15150,36 months,Yemen,"
						      499,500
					"
Germany,"
						
						    85 %
					",Phongsaly Food and Nutritional Security Project (FNSP),"Lao PDR, Phongsaly Province, Khua District.",CARE DEUTSCHLAND-LUXEMBURG EV,"
						      505,762
					",210669,Food aid/Food security programmes,52010,30 months,Laos,"
						      429,898
					"
Germany,"
						
						    75 %
					",Poverty reduction among vulnerable youths through an empower vocational training in Nairobi slums and Laikipia East District,Nairobi non formal settlements and Laikipia East District,KINDERNOTHILFE EV,"
						      665,811
					",211416,Vocational training,11330,36 months,Kenya,"
						      499,358
					"
Germany,"
						
						    50 %
					","Programme d´Appui à la Sécurité Alimentaire dans l´Atacora et la Donga
(PASA/AD)",Benin: Atacora and Donga,DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     4,799,168
					",213615,Food aid/Food security programmes,52010,24 months,Benin,"
						     2,399,584
					"
Germany,"
						
						    75 %
					",Projet d¿Appui à la Filière Arachide de Boké (AFAB),Boké,DEUTSCHER VOLKSHOCHSCHUL-VERBAND EV,"
						      210,500
					",227381,Food crop production,31161,24 months,Guinea (Conakry),"
						      157,875
					"
Germany,"
						
						    93 %
					",Promote Increase and Sustainability in Agriculture Production - PISAP,"Zimbabwe; Province: Midlands; District: Gokwe South; Wards: 9, 11, 12, 13, 15, 19, 23, 24",DEUTSCHE WELTHUNGERHILFE EV,"
						     1,988,808
					",203312,Rural development,43040,46 months,Zimbabwe,"
						     1,848,808
					"
Germany,"
						
						    75 %
					",Promoting Social Dialogue in Georgia,Georgia - regions not specified,FRIEDRICH-EBERT-STIFTUNG EV,"
						      200,000
					",212158,Democratic participation and civil society,15150,24 months,Georgia,"
						      150,000
					"
Germany,"
						
						    80 %
					",Public Opinion in northern part of Cyprus Four Years after the Referendum: Re-Unification or Two-State Solution?,Cyprus,ARNOLD-BERGSTRAESSER INSTITUT FUR KULTURWISSENSCHAFTLICHE FORSCHUNG EV,"
						      107,200
					",226168,"Civilian peace-building, conflict prevention and resolution",15220,12 months,Cyprus,"
						       85,760
					"
Germany,"
						
						    50 %
					",Reconstruction and Stabilisation of Livelihoods in Balkh and Samangan/ Afghanistan,Afghanistan (Balkh and Samangan),DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     4,000,000
					",213613,Food aid/Food security programmes,52010,24 months,Afghanistan,"
						     2,000,000
					"
Germany,"
						
						    75 %
					",Redes para la inclusión de adolescentes en la promoción de políticas públicas y  el desarrollo local,"12 municipios de los departamentos de Estelí (Condega, Estelí, Pueblo Nuevo), Madriz (Palacagüina, Yalagüina, Somoto, Totogalpa) y Nueva Segovia  (Ocotal, Mozonte, Jalapa, Jícaro, Dipilto)",CARE DEUTSCHLAND-LUXEMBURG EV,"
						      360,000
					",219784,Democratic participation and civil society,15150,30 months,Nicaragua,"
						      270,000
					"
Germany,"
						
						    75 %
					","Reducing the prevelance of Disability and Mitigating the effects of impairment by increased community awareness, strengthening maternal and newborn care and providing comprehensive early intervention services",Tanzania and Kenya,CHRISTOFFEL-BLINDENMISSION DEUTSCHLAND EV,"
						     2,996,441
					",219618,Basic health care,12220,48 months,All Countries,"
						     2,247,330
					"
Germany,"
						
						    95 %
					","Repatriation, VET and reintegration for 1600 Afghan minors and destitute families from Iran; presentation of a fair image of Afghanistan and support for potential returnees from abroad (continue actions 146 970 and 172 628).  ","Afghanistan ¿ Western Region / Herat Province, 
Iran ¿ all areas where Afghans have taken refuge, 
other countries where Afghans are in diaspora - while considering to return and invest in Afghanistan
",HELP - HILFE ZUR SELBSTHILFE EV,"
						     1,579,376
					",220048,Vocational training,11330,24 months,Afghanistan,"
						     1,500,000
					"
Germany,"
						
						    90 %
					",Returnee health assistance and the development of interethnic confidence for affected populations in Eastern Sri Lanka ,Trincomalee and Batticaloa districts in Sri Lanka,DEUTSCHES ROTES KREUZ EV,"
						     2,989,530
					",211173,Reconstruction relief and rehabilitation,73010,36 months,Sri Lanka,"
						     2,689,530
					"
Germany,"
						
						   100 %
					",Réduction de la vulnérabilité en milieu rural pour la création d'emplois temporaires à travers des travaux de mise en place de structures de protection de bassins versants,HAITI,DEUTSCHE WELTHUNGERHILFE EV,"
						     1,500,000
					",222471,Food aid/Food security programmes,52010,20 months,Haiti,"
						     1,500,000
					"
Germany,"
						
						    90 %
					","Réseau Interrégional pour l'adaptation de la Formation
technique et professionnelle aux besoins de l'Artisanat
(RIFA).","Maroc
Côte d¿Ivoire
Bénin
Brésil, Honduras, Guatemala, El Salvador ",SEQUA GGMBH,"
						     1,665,884
					",211438,Vocational training,11330,36 months,All Countries,"
						     1,499,295
					"
Germany,"
						
						    80 %
					","SMART CEBU: SMEs for environmental accountability, responsibility and transparency","Philippines, Cebu",SEQUA GGMBH,"
						     1,223,482
					",226554,Small and medium-sized enterprises (SME) development,32130,36 months,Philippines,"
						      978,786
					"
Germany,"
						
						    78 %
					","SURE: Sustainable Urban Energy in the ENPI
Region - towards the Covenant of Mayors","Belarus, Morocco",STADT FRIEDRICHSHAFEN,"
						      791,725
					",203932,Urban development and management,43030,30 months,Region Neighbourhood,"
						      616,725
					"
Germany,"
						
						    75 %
					",Skills Empowerment for Alternative Livelihood in Karamoja Region,"Abim, Moroto & Nakapiripirit Districts in Karamoja Region",SWISSCONTACT GERMANY GGMBH,"
						      582,097
					",208513,Vocational training,11330,36 months,Uganda,"
						      436,573
					"
Germany,"
						
						    75 %
					",Skills Training and Non-Formal Education for Poverty Reduction in Karamoja,"The 5 Districts of Karamoja: Abim, Kaabong, Kotido, Moroto & Nakapiripirit.",DEUTSCHER VOLKSHOCHSCHUL-VERBAND EV,"
						      519,382
					",208623,Vocational training,11330,60 months,Uganda,"
						      389,537
					"
Germany,"
						
						    85 %
					",Small developing island renewable energy knowledge and technology transfer,"Mauritius, Fiji, St. Lucia, Trinidad&Tobago",HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN HAMBURG,"
						     1,168,480
					",216969,Research/scientific institutions,43082,36 months,ACP Countries,"
						      993,207
					"
Germany,"
						
						   100 %
					",Social and Legal Protection of Women/Girls at Risk and Children Detained with their Mothers,"Afghanistan: Kabul, Herat, Mazar-i-Sharif and Kandahar",MEDICA MONDIALE EV,"
						     3,500,000
					",169593,Human rights,15160,37 months,Afghanistan,"
						     3,500,000
					"
Germany,"
						
						    75 %
					",Social and economic rehabilitation of marginalized populations in Iran (Tavaan-e-Zendegi),"Tehran, Iran",DEUTSCHER ORDEN,"
						     1,058,758
					",200309,Support to national NGOs,92010,36 months,Iran,"
						      794,068
					"
Germany,"
						
						    80 %
					",Social management of Water (SMWA) ¿ Phase II,"Taloqan sub-basin: Sharawan irrigation scheme (Takhar Province) and Asqalan canal (Kunduz Province);
Lower Kunduz sub-basin: Safi Qarya Yateem, Tarbuz Gozar and Qala-e Zal irrigation scheme (Kunduz Province).",DEUTSCHE WELTHUNGERHILFE EV,"
						      625,000
					",209888,Agricultural water resources,31140,24 months,Afghanistan,"
						      500,000
					"
Germany,"
						
						    78 %
					","Spearhead network for innovative, clean and safe cement & concrete technologies","Democratic Republic Congo, Uganda, Burundi, Rwanda, Tanzania, Mozambique , South Africa ",BUNDESANSTALT FUR MATERIALFORSCHUNG UND -PRUFUNG,"
						     1,229,049
					",217053,Research/scientific institutions,43082,36 months,ACP Countries,"
						      955,709
					"
Germany,"
						
						    90 %
					",Strengthening Agricultural Capacities of Ultra-Poor in Bangladesh,"Bangladesh, Nine of the poorest Sub- Districts in four Districts: Kurigram Mymensingh, Netrakona, Rangpur",NETZ PARTNERSCHAFT FUR ENTWICKLUNGUND GERECHTIGKEIT EV,"
						     2,320,000
					",212846,Food aid/Food security programmes,52010,22 months,Bangladesh,"
						     2,088,000
					"
Germany,"
						
						    70 %
					",Strengthening Anti-Trafficking Networks in the Western Balkans,"Bosnia and Herzegovina, Croatia, Serbia",CARE DEUTSCHLAND-LUXEMBURG EV,"
						      285,000
					",225131,Support to local and regional NGOs,92030,12 months,Region IPA instrument,"
						      200,000
					"
Germany,"
						
						    75 %
					",Strengthening Community Schools to provide Education and other related services (SCORES),Eastern Province of Zambia in two Districts: Lundazi and Chama,CARE DEUTSCHLAND-LUXEMBURG EV,"
						     1,000,000
					",226647,Education facilities and training,11120,42 months,Zambia,"
						      750,000
					"
Germany,"
						
						   100 %
					",Strengthening NBU potential through the approximation to EU standards of central banking,"Kyiv, Ukraine. Beneficiary: National Bank of Ukraine",BUNDESREPUBLIK DEUTSCHLAND,"
						     1,100,000
					",226448,Financial policy and administrative management,24010,21 months,Ukraine,"
						     1,100,000
					"
Germany,"
						
						    80 %
					",Strengthening of dialogue between NGO and the public sectors on social protection of vulnerable people in Kyrgyzstan,Kyrgyzstan,PRO NGO (NON GOVERNMENTAL ORGANISATIONS/NICHT REGIERUNGS ORGANISATIONEN) EV,"
						      261,815
					",218481,Human rights,15160,18 months,Kyrgyzstan,"
						      209,452
					"
Germany,"
						
						    80 %
					",Support of Refugees and Idps in serbia 08/SER01/03/21/004,"Sremska Mitrovica, Smederevo, Kragujevac, Kraljevo, Novi Pazar
",HELP - HILFE ZUR SELBSTHILFE EV,"
						     1,210,744
					",228079,Refugees in donor countries,93010,17 months,Serbia,"
						      968,544
					"
Germany,"
						
						    91 %
					",Support to IDPs and Refugees in Serbia through Provision of Durable Solutions and Economic Sustainability Measures ,"Kur¿umlija, Blace, Surdulica, Medveđa, Gadzin Han, Po¿arevac, Velika Plana, Lapovo, Svilajnac, Ćuprija, Smederevo, Kru¿evac, Mladenovac , Apatin, Sombor, Becej, Novi Becej, Srbobran, Leskovac, Paraćn,  Topola,",ARBEITER-SAMARITER-BUND DEUTSCHLAND E.V.,"
						     1,760,000
					",200433,Refugees in donor countries,93010,18 months,Serbia,"
						     1,600,000
					"
Germany,"
						
						   100 %
					",Support to Moldova in Prisons System upgrading and Penal Reform,"The action is located in Chisinau, Moldova",DEUTSCHE STIFTUNG FUR INTERNATIONALE RECHTLICHE ZUSAMMENARBEIT IRZ-STIFTUNG,"
						      945,000
					",212535,Legal and judicial development,15130,18 months,Moldova,"
						      945,000
					"
Germany,"
						
						    27 %
					",Support to the African Union Commission (AUC) and the African Ministers' Council on Water (AMCOW) on transboundary water resources management,Africa,DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     5,500,000
					",226246,Water resources policy and administrative management,14010,36 months,ACP Countries,"
						     1,500,000
					"
Germany,"
						
						    75 %
					","The Adult Training Centers as an Opportunity for Poverty Reduction, Education and Social Inclusion COPE (Cooperation through Partnership for Education).","Azerbaijan (Masally, Jalilabad, Lankaran, Yardimli, Lerik, Astara)",DEUTSCHER VOLKSHOCHSCHUL-VERBAND EV,"
						      596,066
					",200330,Multisector education/training,43081,30 months,Azerbaijan,"
						      447,050
					"
Germany,"
						
						    18 %
					",The EUEI Partnership Dialogue Facility,"East Africa, Central Africa and Southern Africa ",DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     5,700,000
					",219569,Energy policy and administrative management,23010,29 months,ACP Countries,"
						     1,000,000
					"
Germany,"
						
						    75 %
					",Towards a Global finance system at the Service of Sustainable Development,"Czech Republic, France, Germany, Hungary, Netherlands, UK","WELTWIRTSCHAFT, OKOLOGIE & ENTWICKLUNG - WEED EV","
						     1,330,679
					",202375,Promotion of development awareness,99820,36 months,EU Europe ,"
						      998,009
					"
Germany,"
						
						   100 %
					","Twinning ''Support to the State Statistical Committee of the Republic of Azerbaijan (SSC) to reach European standards in national accounts, non-observed economy, business statistics and producer price index''","Location: Baku, Azerbaijan
Target group: The State Statistical Committee of the Republic of Azerbaijan (SSC)",BUNDESREPUBLIK DEUTSCHLAND,"
						      900,000
					",219967,Statistical capacity building,16062,27 months,Azerbaijan,"
						      900,000
					"
Germany,"
						
						   100 %
					",Twinning Assistance to the Personal Data Protection Agency,"Bosnia and Herzegovina
Personal Data Protection Agency
Civil servants and police bodies who are controlling and/or processing personal data ",DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						      250,000
					",211515,Security system management and reform,15210,9 months,Bosnia and Herzegovina,"
						      250,000
					"
Germany,"
						
						    75 %
					","Vocational education and training for inclusive growth for tribal communities in East Indian states of Jharkand, West Bengal and Orissa","Jharkand, West Bengal and Orissa in India covering 88000 youths in total",DEUTSCHE WELTHUNGERHILFE EV,"
						      750,000
					",210785,Vocational training,11330,60 months,India,"
						      562,500
					"
Germany,"
						
						    75 %
					",Youth envisioning the future in Europe and Africa - Strengthening capacity for innovative approaches to development education,"Germany, Austria, Romania.",WORLD VISION DEUTSCHLAND E.V.,"
						      872,923
					",202006,Promotion of development awareness,99820,36 months,EU Europe ,"
						      654,692
					"
Germany,"
						
						   100 %
					",projet de relance agricole province du Nord Kivu,RDCongo - Nord Kivu - Butembo,DEUTSCHE WELTHUNGERHILFE EV,"
						     2,073,499
					",201113,Agricultural development,31120,33 months,Congo (Democratic Republic of the),"
						     2,073,499
					"
Germany,"
						
						    80 %
					",support to refugees and idps in serbia ,serbia,ARBEITER-SAMARITER-BUND DEUTSCHLAND E.V.,"
						     1,020,052
					",228096,Refugees in donor countries,93010, months,Serbia,"
						      815,634
					"
Germany,"
						
						    85 %
					","''Improved food and livelihood security for poor families in Pauk Township'', Dry Zone, Myanmar","Pauk Township, Pakokku District, Magway Division, Burma/Myanmar",DEUTSCHE WELTHUNGERHILFE EV,"
						     1,000,000
					",163638,Food aid/Food security programmes,52010,36 months,Myanmar,"
						      850,000
					"
Germany,"
						
						   100 %
					",02/ACT/FED/9ACP CD-13/SUBV/09/2008,"Mani - Hadjer Lamis - TCHAD
",DIAKONISCHES WERK DER EVANGELISCHEN KIRCHE IN DEUTSCHLAN EV,"
						      447,738
					",195225,Support to international NGOs,92020,24 months,Chad,"
						      447,738
					"
Germany,"
						
						    10 %
					",05MAC01/05/101 Support to the State Statistical Office,,STATISTISCHES BUNDESAMT,"
						      907,497
					",165913,Statistical capacity building,16062,27 months,FYROM (Former Yugoslav Republic of Macedonia),"
						       90,750
					"
Germany,"
						
						    21 %
					",05SER01/05/003 - Capacity Building of the Water Directorate,"Belgrade, Republic of Serbia",DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     2,213,191
					",164930,Water resources policy and administrative management,14010,30 months,Serbia,"
						      465,466
					"
Germany,"
						
						     10 %
					",05SER01/06/002 Institutional Capacity Building within the Veterinary Directorate  ,"Belgrade, Serbia. ",BUNDESREPUBLIK DEUTSCHLAND,"
						     2,053,617
					",164858,Agricultural policy and administrative management,31110,57 months,Serbia,"
						      199,777
					"
Germany,"
						
						    20 %
					",05SER01/07/004 - Capacity Building of RGZ to Manage Land & Real Property Inform,"Belgrade, Republic of Serbia",DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     2,020,387
					",164957,Environmental policy and administrative management,41010,29 months,Serbia,"
						      399,957
					"
Germany,"
						
						     9 %
					",05SER01/08/004 Assistance programme for IDPs through alternative Housing Solutions and Income Generation Support,Republic of Serbia,HELP - HILFE ZUR SELBSTHILFE EV,"
						     1,578,947
					",164950,Aid to refugees (in recipient country),72030,22 months,Serbia,"
						      150,000
					"
Germany,"
						
						   101 %
					",06SER01/01/08/001 Needs analysis for the National Bank of Serbia,,EUROPEAN CENTRAL BANK,"
						      397,183
					",166677,Public finance management,15111,9 months,Serbia,"
						      400,000
					"
Germany,"
						
						    11 %
					","06SER01/04/002 - Strengthening the capacity of MIER , Trade policy and Agreements",Serbia - national level,BUNDESREPUBLIK DEUTSCHLAND,"
						     1,496,837
					",166519,Trade policy and administrative management,33110,27 months,Serbia,"
						      164,287
					"
Germany,"
						
						     9 %
					","06SER01/08/007 Durable solutions for the displaced, housing and income",,HELP - HILFE ZUR SELBSTHILFE EV,"
						      986,161
					",166439,Refugees in donor countries,93010,20 months,Serbia,"
						       93,385
					"
Germany,"
						
						    58 %
					",06SER01/15/002 Support to the development of national employment policy,,GESELLSCHAFT FUR VERSICHERUNGSWISSENSCHAFT UND -GESTALTUNG EV,"
						     1,574,300
					",166436,Employment policy and administrative management,16020,27 months,Serbia,"
						      913,552
					"
Germany,"
						
						    56 %
					",06SER01/15/004 Modernisation of the national employment service ,,GESELLSCHAFT FUR VERSICHERUNGSWISSENSCHAFT UND -GESTALTUNG EV,"
						     1,639,200
					",166406,Employment policy and administrative management,16020,27 months,Serbia,"
						      912,592
					"
Germany,"
						
						    78 %
					",A family for each child,"Kostroma, Ryazan",BBJ SERVIS GGMBH - HILFEN ZUR SELBSTHILFE,"
						      297,000
					",149384,Democratic participation and civil society,15150,24 months,Russia ,"
						      232,000
					"
Germany,"
						
						    75 %
					",A new approach to poverty reduction in Moldova ¿ combined efforts of NGOs and Local Authorities,Republic of Moldova,GUSTAV STRESEMANN INSTITUT EV,"
						      699,277
					",171408,Democratic participation and civil society,15150,24 months,Moldova,"
						      523,898
					"
Germany,"
						
						   100 %
					",ARBEITER-SAMARITER-BUND DEUTSCHLAND E.V (ASB),KATAKWI DISTRICT ,ARBEITER-SAMARITER-BUND DEUTSCHLAND E.V.,"
						      406,516
					",194336,,0,14 months,Uganda,"
						      406,516
					"
Germany,"
						
						    90 %
					","Beyond Boredom, Dust and Decay - Museums as Life Long Learning Spaces for Intercultural Dialogue"," Location: Armenia, Azerbaijan, Georgia, Russian Federation
Target groups: Museum staff, staff of cultural institutions and centres, volunteers (¿museum friends¿ circles)  involved into intercultural and educational activities in the mentioned countries (minimum 400 people)
Final Beneficiaries:  Local communities and different ethnic groups at large as the project strives to contribute to a better understanding of cultural differences. 
",DEUTSCHER VOLKSHOCHSCHUL-VERBAND EV,"
						      550,000
					",150855,Culture and recreation,16061,30 months,Region Neighbourhood,"
						      495,000
					"
Germany,"
						
						    80 %
					",Beyond Managing the Israeli-Palestinian Conflict: Demonstrating the effecitveness of a conflict sesitive social trasformation approach,"Israel, Occupied Palestinian Territory, EU member states.",HEINRICH BOLL STIFTUNG EV,"
						      400,000
					",152289,"Civilian peace-building, conflict prevention and resolution",15220,24 months,Mediterranean Region,"
						      320,000
					"
Germany,"
						
						    80 %
					",Bio-diversity Program in Amhara,"Ethiopia, Amhara Region:
1-Bahir Dar ,Regional capital
2-Metema and Quara districts in North Gonder Zone
3-Estie, Farta and Lay Gayint in South Gonder Zone",DEUTSCHE WELTHUNGERHILFE EV,"
						     2,155,000
					",152682,Forestry development,31220,60 months,All Countries,"
						     1,724,000
					"
Germany,"
						
						    71 %
					",Breaking the Silence for Girls¿ and Women¿s Rights,Sierra Leone: 60 communities in Port Loko and Bombali Districts and activities at national level,PLAN INTERNATIONAL DEUTSCHLAND EV,"
						      425,385
					",170419,Human rights,15160,36 months,Sierra Leone,"
						      300,000
					"
Germany,"
						
						    80 %
					",Bridges of good neighbourhood - BgN,"Russian Federation (Moscow, Kazan, Nizhny Novogrod, Samara, Stavropol, Ekaterinenburg, Tartastan), Ukraine (Odessa), Moldova (Chisinau), Georgia (Tbilsi), Armenia (Yerivan), Kirgizstan (Tokmok), Tadzhikistan (Dushanbe) Germany (Berlin, Bremerhaven, Bielefeld, Frankfurt Karlsruhe), Poland (Szecin, Worclaw), Bulgaria (Sofia)
target groups: Migrants, returnees, NGOs; refugees, asylum seekers and internal displaced persons, female migrants,
local authorities, specialists, journalists,social worker",ARBEITERWOHLFAHRT KREISVERBAND BREMERHAVEN EV,"
						     1,973,057
					",153140,Human rights,15160,30 months,All Countries,"
						     1,578,446
					"
Germany,"
						
						    85 %
					","Building sustainable partnerships in Kazakhstan, Uzbekistan and Kyrgyzstan: Strengthening the Capacity of Business Intermediary Organisations in Central Asia in the healthcare sector","Multi countries, Kazakhstan, Uzbekistan and Kyrgyzstan.","SPECTARIS DEUTSCHER INDUSTRIEVERBAND FUR OPTISCHE, MEDIZINISCHE UND MECHATRONISCHE TECHNOLOGIEN EV","
						      373,091
					",150232,Small and medium-sized enterprises (SME) development,32130,18 months,Central Asia Region,"
						      317,127
					"
Germany,"
						
						    90 %
					",Building the dream: Saving the African Child from Trafficking,"Kenya, East Africa",KINDERNOTHILFE EV,"
						      524,133
					",155460,Human rights,15160,48 months,All Countries,"
						      471,719
					"
Germany,"
						
						    75 %
					",Champions for South Africa ¿ Join The Game!,"Germany, Poland, Tchec Republic, Austria, Italy and Spanish",JUGEND DRITTE WELT FREUNDE UND FORDERER DER MISSIONSPROKUR DER SALISANER DON BOSCO IN BONN EV,"
						      916,104
					",153517,Promotion of development awareness,99820,30 months,All Countries,"
						      687,078
					"
Germany,"
						
						    75 %
					",Community Based Health Insurance (CBHI) for the Rural Poor,"Oddar Meanchey Province (OMC) in N.W. Cambodia with its main Operational Health District (OD) of Samraong. 
Target: general population of the province and ten Health Centres (HC) and two Referral Hospitals (RH). ",MALTESER HILFSDIENST EV,"
						      730,402
					",166571,Basic health care,12220,36 months,Cambodia ,"
						      547,801
					"
Germany,"
						
						    75 %
					","Community-based Environmental Management Project in Swaziland in Shiseleweni Region, Ngudzeni and Mhlosheni Areas","Shiseleweni Region, Ngudzeni and Mhlosheni Areas (SWAZILAND)",WORLD VISION DEUTSCHLAND E.V.,"
						      300,000
					",149556,Environmental education/ training,41081,36 months,Swaziland,"
						      225,000
					"
Germany,"
						
						    80 %
					",Conservation of the Sierra Leonean Western Area Peninsula (WAP) Forest Reserve and its Watershed,"Western Area Peninsular Forest Reserve, Western Area, Freetown, Sierra Leone.",DEUTSCHE WELTHUNGERHILFE EV,"
						     3,000,000
					",153865,Forestry education/training,31281,60 months,Sierra Leone,"
						     2,400,000
					"
Germany,"
						
						    80 %
					","Consolidation of democracy and respect for all human and minority rights through strengthening of the reconciliation process and citizens' participation in the decision making process in the municipalities of Pakrac, Lipik and Okucani",Croatia,ARBEITER-SAMARITER-BUND DEUTSCHLAND E.V.,"
						      124,411
					",171470,Human rights,15160,12 months,Croatia,"
						       99,529
					"
Germany,"
						
						    75 %
					",Construyendo estrategias y acciones frente al feminicidio y la violencia de género contra las mujeres en Centroamérica,"El Salvador, Guatemala, Honduras y Nicaragua",CHRISTLICHE INITIATIVE ROMERO EV,"
						     1,289,100
					",149627,Women’s equality organisations and institutions,15170,36 months,Central America Region,"
						      966,825
					"
Germany,"
						
						    50 %
					","Cortar la cadena de exclusión: programa de fortalecimiento familiar y comunitario SOS en Paysandú, Uruguay",Uruguay: Paysandú,HERMANN-GMEINER-FONDS DEUTSCHLAND,"
						      199,920
					",168441,Democratic participation and civil society,15150,24 months,Uruguay,"
						       99,960
					"
Germany,"
						
						    80 %
					",Demosoe Assistance to the Uprooted (DAU),"Demosoe Township, Kayah State, Myanmar
Target groups are 2,000 rural households (consisting of more than 12,000 persons, 60 per cent of whom are IDPs) in 34 villages of Demosoe Township, Kayah State, Myanmar.  Specific activities will focus on women headed households.",CARE DEUTSCHLAND-LUXEMBURG EV,"
						     1,963,301
					",157681,Food crop production,31161,46 months,Myanmar,"
						     1,570,906
					"
Germany,"
						
						    75 %
					",Development of a comprehensive intervention services infrastructure and active advocacy network for the rights and needs of hearing impaired and deaf children and their families in the Gaza Strip,"The Occupied Palestinian Territories, Gaza Strip, Gaza City, Jabalia, Rafah",CHRISTOFFEL-BLINDENMISSION DEUTSCHLAND EV,"
						      511,995
					",169614,Medical services,12191,36 months,Mediterranean Region,"
						      383,996
					"
Germany,"
						
						    80 %
					",Dynamic mechanism: Avoiding and shortening of stationary measures for children and youth offenders,Arkhangelsk,SCHLESWIG-HOLSTEINISCHER VERBAND FUR STRAFFALLIGEN-UND BEWAHRUNGSHILFE EV,"
						      299,020
					",149392,Democratic participation and civil society,15150,24 months,Russia ,"
						      238,540
					"
